13/09/2017,-100,Phone bill
11/09/2017,-100,Clothes
11/09/2017,-100,Clothes
11/09/2017,-300,Rent
08/09/2017,1400,PAY JOHNSON AND CO
07/09/2017,990,ctrlink
06/09/2017,-100,Phone bill
06/09/2017,-100,Clothes
06/09/2017,-300,Rent
01/09/2017,1400,PAY JOHNSON AND CO
31/08/2017,990,ctrlink
30/08/2017,-100,Clothes
30/08/2017,-100,Petrol
30/08/2017,-300,Rent
25/08/2017,1400,PAY JOHNSON AND CO
24/08/2017,990,ctrlink
23/08/2017,-100,Clothes
23/08/2017,-100,Petrol
23/08/2017,-300,Rent
18/08/2017,1400,PAY JOHNSON AND CO
17/08/2017,990,ctrlink
16/08/2017,-100,Phone bill
16/08/2017,-100,Petrol
16/08/2017,-300,Rent
11/08/2017,1400,PAY JOHNSON AND CO
10/08/2017,990,ctrlink
09/08/2017,-100,Insurance Bill
09/08/2017,-50,Petrol
09/08/2017,-300,Rent
04/08/2017,1400,PAY JOHNSON AND CO
03/08/2017,990,ctrlink
02/08/2017,-100,Foxtel Bill
02/08/2017,-100,Petrol
02/08/2017,-300,Rent
28/07/2017,1400,PAY JOHNSON AND CO
27/07/2017,990,ctrlink
26/07/2017,-100,Electricity Bill
26/07/2017,-100,Petrol
26/07/2017,-300,Rent
21/07/2017,1400,PAY JOHNSON AND CO
20/07/2017,990,ctrlink
19/07/2017,-100,Phone bill
19/07/2017,-100,Petrol
19/07/2017,-300,Rent
14/07/2017,1400,PAY JOHNSON AND CO
13/07/2017,990,ctrlink
12/07/2017,-100,Clothes
12/07/2017,-100,Petrol
12/07/2017,-300,Rent
07/07/2017,1400,PAY JOHNSON AND CO
06/07/2017,990,ctrlink
05/07/2017,-100,Clothes
05/07/2017,-100,Petrol
05/07/2017,-300,Rent
30/06/2017,1400,PAY JOHNSON AND CO
29/06/2017,990,ctrlink
28/06/2017,-100,Foxtel Bill
28/06/2017,-100,Petrol
28/06/2017,-300,Rent
23/06/2017,1400,PAY JOHNSON AND CO
22/06/2017,990,ctrlink
16/06/2017,1400,PAY JOHNSON AND CO
16/06/2017,-100,Electricity Bill
16/06/2017,-100,Petrol
16/06/2017,-300,Rent
15/06/2017,990,ctrlink
09/06/2017,1400,PAY JOHNSON AND CO
09/06/2017,-100,Clothes
09/06/2017,-100,Petrol
09/06/2017,-300,Rent
08/06/2017,990,ctrlink
02/06/2017,1400,PAY JOHNSON AND CO
01/06/2017,990,ctrlink
26/05/2017,1400,PAY JOHNSON AND CO
25/05/2017,990,ctrlink
